0,breadth,-,7.26,43619,49
0,depth,-,1.92,11769,49
0,uniform,-,7.26,43616,49
0,greedy,1,7.07,41190,49
0,greedy,2,0.43,2302,49
0,greedy,3,0.48,2541,49
0,A*,1,7.54,43618,49
0,A*,2,1.55,8358,49
0,A*,3,1.6,8418,49

1,breadth,-,17.52,101522,45
1,depth,-,8.11,49104,45
1,uniform,-,17.03,100199,45
1,greedy,1,17.25,101008,45
1,greedy,2,0.41,2223,45
1,greedy,3,0.77,4215,45
1,A*,1,17.48,100013,45
1,A*,2,0.96,5007,45
1,A*,3,2.28,12357,45

2,breadth,-,3.09,18617,49
2,depth,-,0.54,3332,49
2,uniform,-,3.1,18615,49
2,greedy,1,1.72,10228,49
2,greedy,2,0.14,775,49
2,greedy,3,0.13,716,49
2,A*,1,3.19,18616,49
2,A*,2,0.46,2426,49
2,A*,3,0.47,2514,49

3,breadth,-,2.95,17511,46
3,depth,-,2.52,15327,46
3,uniform,-,2.95,17487,46
3,greedy,1,1.56,9317,46
3,greedy,2,0.15,821,46
3,greedy,3,0.15,783,46
3,A*,1,3.02,17490,46
3,A*,2,0.27,1440,46
3,A*,3,0.29,1577,46

4,breadth,-,2.39,14327,45
4,depth,-,1.72,10410,45
4,uniform,-,2.45,14187,45
4,greedy,1,2.25,13450,45
4,greedy,2,0.27,1466,45
4,greedy,3,0.24,1320,45
4,A*,1,2.37,14167,45
4,A*,2,0.33,1764,45
4,A*,3,0.34,1838,45

5,breadth,-,26.22,153022,51
5,depth,-,19.14,117876,51
5,uniform,-,26.69,152981,51
5,greedy,1,14.87,86217,51
5,greedy,2,3.11,16942,51
5,greedy,3,3.26,17754,51
5,A*,1,27.39,152963,51
5,A*,2,3.88,20523,51
5,A*,3,4.04,21466,51

6,breadth,-,2.79,16421,45
6,depth,-,0.68,4078,45
6,uniform,-,2.75,16309,45
6,greedy,1,2.03,11873,45
6,greedy,2,0.11,611,45
6,greedy,3,0.02,104,45
6,A*,1,2.81,16311,45
6,A*,2,0.25,1312,45
6,A*,3,0.28,1487,45

7,breadth,-,9.35,53726,49
7,depth,-,7.28,43480,49
7,uniform,-,9.33,53595,49
7,greedy,1,8.94,51246,49
7,greedy,2,0.43,2291,49
7,greedy,3,0.25,1320,49
7,A*,1,9.39,53572,49
7,A*,2,0.97,5055,49
7,A*,3,1.0,5273,49

8,breadth,-,14.04,82747,49
8,depth,-,5.74,34728,49
8,uniform,-,14.33,82366,49
8,greedy,1,8.76,50624,49
8,greedy,2,0.46,2427,49
8,greedy,3,0.29,1566,49
8,A*,1,14.59,82203,49
8,A*,2,0.86,4449,49
8,A*,3,0.68,3514,49

9,breadth,-,18.64,107603,52
9,depth,-,4.25,25349,52
9,uniform,-,18.89,107510,52
9,greedy,1,15.07,87044,52
9,greedy,2,0.53,2700,52
9,greedy,3,0.51,2722,52
9,A*,1,19.29,107502,52
9,A*,2,0.66,3434,52
9,A*,3,0.79,4045,52

10,breadth,-,38.25,215433,50
10,depth,-,32.3,193474,50
10,uniform,-,38.61,213567,50
10,greedy,1,36.04,202156,50
10,greedy,2,1.07,5351,50
10,greedy,3,1.03,5289,50
10,A*,1,39.71,213496,50
10,A*,2,1.37,6486,50
10,A*,3,0.94,4681,50

11,breadth,-,4.52,26059,50
11,depth,-,4.33,25201,50
11,uniform,-,4.56,26021,50
11,greedy,1,4.23,24006,50
11,greedy,2,0.35,1830,50
11,greedy,3,0.51,2687,50
11,A*,1,4.53,26014,50
11,A*,2,0.17,870,50
11,A*,3,0.65,3404,50

12,breadth,-,3.43,20177,51
12,depth,-,3.04,18476,51
12,uniform,-,3.41,20164,51
12,greedy,1,2.61,15381,51
12,greedy,2,0.33,1783,51
12,greedy,3,0.32,1714,51
12,A*,1,3.48,20165,51
12,A*,2,0.64,3207,51
12,A*,3,0.6,3223,51

13,breadth,-,6.95,41227,51
13,depth,-,2.44,14782,51
13,uniform,-,6.95,41227,51
13,greedy,1,5.39,30939,51
13,greedy,2,0.02,119,51
13,greedy,3,0.02,84,51
13,A*,1,7.19,41226,51
13,A*,2,0.3,1534,51
13,A*,3,0.33,1683,51

14,breadth,-,53.21,298972,53
14,depth,-,47.61,287681,53
14,uniform,-,54.36,298564,53
14,greedy,1,35.02,198272,53
14,greedy,2,3.65,19223,53
14,greedy,3,3.6,19205,53
14,A*,1,54.98,298321,53
14,A*,2,4.99,25982,53
14,A*,3,5.14,26604,53

15,breadth,-,874.73,3463491,65
15,depth,-,344.75,1739914,65
15,uniform,-,915.44,3455863,65
15,greedy,1,662.75,2878243,65
15,greedy,2,2.64,11724,65
15,greedy,3,6.1,26630,65
15,A*,1,916.78,3455408,65
15,A*,2,6.76,28496,65
15,A*,3,30.12,121704,65

16,breadth,-,102.16,469389,65
16,depth,-,17.25,86323,65
16,uniform,-,104.96,469296,65
16,greedy,1,39.59,189061,65
16,greedy,2,2.48,10779,65
16,greedy,3,2.07,9040,65
16,A*,1,106.5,469285,65
16,A*,2,2.45,10563,65
16,A*,3,2.46,10712,65

17,breadth,-,204.6,901875,62
17,depth,-,159.65,802721,62
17,uniform,-,210.4,901136,62
17,greedy,1,128.53,595494,62
17,greedy,2,5.5,24335,62
