Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,class
1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,0,0.0,0,0,0,0.0,10.8,1.4,1.74,Dropout
1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,6,6,6,14.0,6,6,6,13.66666667,13.9,-0.3,0.79,Graduate
1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,6,0,0,0.0,6,0,0,0.0,10.8,1.4,1.74,Dropout
1,17,2,9773,1,1,122.0,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,6,8,6,13.42857143,6,10,5,12.4,9.4,-0.8,-3.12,Graduate
2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,6,9,5,12.33333333,6,6,6,13.0,13.9,-0.3,0.79,Graduate
2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,5,10,5,11.85714286,5,17,5,11.5,16.2,0.3,-0.92,Graduate
1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,7,9,7,13.3,8,8,8,14.345,15.5,2.8,-4.06,Graduate
1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,5,5,0,0.0,5,5,0,0.0,15.5,2.8,-4.06,Dropout
1,1,3,9238,1,1,137.0,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,6,8,6,13.875,6,7,6,14.14285714,16.2,0.3,-0.92,Graduate
1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,6,9,5,11.4,6,14,2,13.5,8.9,1.4,3.51,Dropout
1,1,1,9670,1,1,139.0,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,6,6,6,12.33333333,6,7,5,14.2,13.9,-0.3,0.79,Graduate
1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,8,8,7,13.21428571,8,8,7,13.21428571,12.7,3.7,-1.7,Graduate
1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,6,6,0,0.0,6,0,0,0.0,12.7,3.7,-1.7,Dropout
1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,6,7,6,10.57142857,6,8,5,11.0,8.9,1.4,3.51,Graduate
1,1,1,9085,1,1,149.0,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,5,7,4,13.25,5,5,5,12.0,10.8,1.4,1.74,Graduate
1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,6,6,5,13.2,6,7,0,0.0,15.5,2.8,-4.06,Dropout
1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,6,10,1,12.0,6,14,2,11.0,10.8,1.4,1.74,Enrolled
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,7,8,7,13.30625,8,8,8,14.545,15.5,2.8,-4.06,Graduate
1,1,1,9130,1,1,137.0,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,5,8,4,12.5,5,8,4,12.25,10.8,1.4,1.74,Graduate
1,1,1,9853,1,1,140.0,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,7,7,6,11.66666667,7,8,6,13.5,16.2,0.3,-0.92,Enrolled
1,1,3,171,1,1,122.0,1,1,1,9,8,120.3,0,0,0,1,0,1,21,0,0,0,0,0.0,0,0,0,0.0,11.1,0.6,2.02,Graduate
1,18,4,9556,1,1,127.0,1,1,38,4,7,121.8,1,0,0,1,0,0,20,0,7,14,7,11.4375,8,9,8,11.425,12.7,3.7,-1.7,Enrolled
1,1,4,9500,1,1,142.0,1,19,19,1,1,125.5,1,0,0,1,0,0,18,0,8,12,7,12.85714286,8,12,7,12.85714286,12.7,3.7,-1.7,Graduate
1,1,4,9670,1,1,125.0,1,1,38,4,7,114.9,1,0,0,1,0,1,19,0,6,8,6,13.375,6,7,6,12.28571429,11.1,0.6,2.02,Graduate
1,1,1,9500,1,1,126.0,1,19,19,3,7,123.9,0,0,0,1,0,0,19,0,7,8,6,13.29666667,8,9,7,14.11428571,11.1,0.6,2.02,Graduate
1,1,1,9238,1,1,151.0,1,19,38,9,9,157.0,1,0,1,1,0,1,18,0,6,8,5,11.6,6,12,4,11.0,7.6,2.6,0.32,Enrolled
1,17,2,9238,1,1,115.0,1,19,38,7,8,116.4,1,0,0,1,0,0,21,0,6,9,6,11.375,6,9,6,13.28571429,16.2,0.3,-0.92,Graduate
1,1,1,9085,1,1,138.0,1,19,19,3,3,131.0,1,0,0,1,0,0,18,0,5,9,5,12.66666667,5,7,4,13.0,9.4,-0.8,-3.12,Enrolled
1,1,1,9147,1,1,135.0,1,19,1,9,9,122.1,1,0,0,1,0,0,20,0,5,6,5,12.0,5,6,5,12.33333333,16.2,0.3,-0.92,Graduate
1,17,2,9500,1,1,127.0,1,3,3,1,10,118.8,1,0,0,1,1,0,19,0,7,9,6,12.93333333,7,7,6,13.71666667,16.2,0.3,-0.92,Enrolled
1,44,1,9003,1,39,150.0,1,4,5,4,2,150.0,0,0,0,1,1,0,21,0,6,15,5,11.85714286,6,17,5,10.57142857,16.2,0.3,-0.92,Enrolled
1,51,1,9070,1,1,125.0,1,42,3,125,124,130.0,1,0,0,1,1,0,20,0,6,7,6,12.83333333,6,9,4,13.4,8.9,1.4,3.51,Graduate
1,1,1,9147,1,1,143.0,1,1,1,4,6,138.8,0,0,0,0,1,0,18,0,5,9,3,11.33333333,5,8,2,13.5,8.9,1.4,3.51,Enrolled
1,18,1,8014,0,1,138.0,1,19,1,9,5,134.5,1,0,0,1,0,0,19,0,6,6,6,12.66666667,6,8,6,14.375,12.4,0.5,1.79,Graduate
1,1,1,9991,0,1,130.0,1,2,37,3,9,131.4,0,0,0,1,1,0,34,0,5,6,5,12.4,5,9,5,13.42857143,13.9,-0.3,0.79,Graduate
1,39,1,33,1,1,130.0,1,38,37,9,6,102.5,0,0,1,0,1,0,37,0,7,7,0,0.0,7,7,1,10.0,8.9,1.4,3.51,Dropout
1,39,1,9119,1,10,133.1,1,34,37,0,0,128.8,1,0,0,1,1,0,43,0,5,0,0,0.0,5,0,0,0.0,7.6,2.6,0.32,Dropout
1,43,1,9147,1,1,140.0,1,37,37,6,6,122.9,0,0,0,1,0,0,55,0,5,10,1,10.0,5,8,2,12.0,16.2,0.3,-0.92,Dropout
4,39,1,9991,0,1,120.0,1,19,19,9,3,113.9,1,0,0,1,0,0,39,0,5,8,5,11.0,5,5,5,11.6,7.6,2.6,0.32,Graduate
1,44,1,9130,1,39,120.0,6,4,4,3,6,120.0,0,0,1,0,0,0,20,1,6,13,3,11.66666667,6,11,3,12.0,12.4,0.5,1.79,Dropout
1,1,5,9773,1,1,126.0,1,3,3,2,2,121.1,0,0,1,1,0,0,18,0,6,6,4,12.75,5,5,0,0.0,12.7,3.7,-1.7,Dropout
1,1,2,9147,1,1,133.0,1,3,19,2,7,120.4,1,0,0,1,0,0,22,0,5,5,5,14.8,5,5,5,15.8,8.9,1.4,3.51,Graduate
1,1,6,9500,1,1,103.0,1,1,3,2,2,100.6,1,1,0,1,0,0,22,0,7,9,5,13.928,8,9,7,14.34285714,11.1,0.6,2.02,Graduate
1,17,1,9773,1,1,120.0,1,1,38,5,5,121.4,0,0,0,0,0,0,20,0,6,7,4,13.0,6,7,5,13.8,12.4,0.5,1.79,Dropout
1,39,1,9991,0,1,133.1,1,37,37,9,9,109.7,0,0,0,1,0,0,29,0,5,0,0,0.0,5,0,0,0.0,16.2,0.3,-0.92,Dropout
1,17,1,9991,0,1,154.0,1,38,38,4,5,134.1,0,0,0,1,0,0,24,0,5,9,2,11.5,5,11,3,14.33333333,7.6,2.6,0.32,Enrolled
1,17,2,9238,1,1,130.0,1,19,19,9,9,127.6,1,0,0,1,0,0,18,0,6,6,6,11.66666667,6,8,5,13.2,11.1,0.6,2.02,Graduate
1,17,6,9500,1,1,132.0,1,37,19,7,7,132.4,1,0,0,1,0,1,22,0,7,8,6,13.51666667,8,9,7,13.77142857,11.1,0.6,2.02,Graduate
1,44,1,8014,0,39,130.0,1,1,19,9,9,133.4,0,0,0,1,0,1,21,0,6,6,6,11.5,6,7,6,13.28571429,12.4,0.5,1.79,Graduate
1,1,1,9238,1,1,139.0,1,37,38,9,9,126.1,0,0,0,1,0,1,19,0,6,7,5,12.33333333,6,7,6,12.83333333,12.7,3.7,-1.7,Graduate
1,39,1,9254,1,1,130.0,1,19,38,9,7,113.5,0,0,0,1,0,1,24,0,6,6,6,13.66666667,6,6,6,14.16666667,12.4,0.5,1.79,Graduate
1,1,1,9500,1,1,139.0,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,8,10,6,11.83333333,8,10,6,11.83333333,9.4,-0.8,-3.12,Enrolled
